id,frecuencia,dist_km
5390,95.4,209.845
5789,107.4,209.951
15757,94.1,210.049
68524,107.7,210.057
41872,96.6,210.078
66088,95.3,210.811
15757,103.5,211.015
5667,95.4,211.052
76736,106.6,211.071
5697,105.5,211.258
76736,105.6,211.324
5321,107.3,211.357
5321,97.6,211.357
5697,89.4,211.502
76497,107.4,211.52
68498,107.2,211.808
68217,107.7,211.975
5579,94.3,212.253
76497,99.4,212.382
76497,97.0,212.394
66075,92.1,212.699
66456,88.1,213.816
66456,90.1,213.923
5789,89.1,214.084
66045,104.1,214.499
50590,92.3,214.651
5679,101.1,214.779
5376,102.7,214.799
5376,97.3,214.811
5467,88.4,214.897
50590,89.1,214.945
5376,105.4,215.082
73616,95.0,215.296
5148,88.4,215.432
66687,106.7,215.539
66687,99.5,215.546
76041,103.9,215.714
41799,92.8,215.789
41799,95.8,215.789
15755,96.6,216.076
15723,106.6,216.456
68755,98.7,216.512
68533,104.7,216.902
5440,107.4,217.151
73616,93.9,217.799
5615,98.4,217.931
73616,95.5,217.988
68573,88.2,218.731
5615,93.3,218.853
5440,90.5,218.947
66383,93.1,219.061
68755,89.4,219.081
68755,102.7,219.082
15755,101.9,219.156
5615,91.5,219.216
68573,93.2,219.483
15720,100.6,219.793
5670,104.4,219.857
76403,106.6,219.919
76243,104.1,220.265
76243,92.5,220.276
76403,106.0,220.376
50568,94.3,220.563
5364,94.3,220.75
5364,89.4,220.75
5615,104.4,220.755
68855,91.2,220.846
5607,101.6,221.231
5364,96.5,221.491
5607,89.4,221.866
5364,101.4,223.267
5021,89.4,223.381
68522,88.2,223.458
5425,89.1,223.705
68344,107.2,223.714
5021,104.8,224.008
73168,103.5,224.016
73067,106.5,224.016
50590,97.5,224.133
76823,103.4,224.229
76895,106.6,225.286
5425,107.4,225.316
76400,103.8,226.09
5364,90.3,226.792
5282,107.4,226.891
5282,91.3,226.956
66572,93.1,227.209
5674,105.1,227.253
5670,93.4,227.591
50568,107.8,227.655
50568,104.0,227.668
50568,107.2,227.668
5368,89.4,227.839
68549,107.7,228.168
50568,106.7,229.091
5034,104.4,229.241
15774,90.6,229.412
76054,106.6,229.473
68502,91.2,229.955
68502,101.2,230.441
68121,88.8,230.604
5674,88.5,230.889
5034,100.9,231.509
15368,99.1,231.568
15368,91.6,231.669
5034,97.5,231.953
5034,101.8,231.962
5129,102.3,232.003
68679,107.2,232.107
68235,101.2,232.374
85225,98.7,232.391
85225,100.2,232.391
5206,104.4,232.766
68235,88.2,232.863
5380,104.3,232.867
5129,95.4,232.936
41001,94.8,233.029
5576,102.6,233.139
68464,94.2,233.187
5576,95.4,233.387
5690,107.4,233.496
68679,93.7,233.721
68464,103.2,233.722
68679,106.3,233.725
41001,93.8,233.825
5190,105.4,233.946
68296,107.7,234.062
76400,101.1,234.226
5861,89.4,234.257
5206,91.1,234.291
5690,91.5,234.432
5690,101.1,234.432
68682,88.2,234.735
5318,106.3,234.773
5266,97.6,234.844
5129,88.5,235.143
5129,106.5,235.289
5318,88.1,235.295
76622,89.9,235.296
68079,100.3,235.836
68079,103.2,235.837
76622,99.4,236.057
5792,105.4,236.136
5792,88.2,236.174
5353,107.4,236.8
76100,89.0,237.035
15753,96.6,237.203
5890,89.4,237.386
66572,91.5,237.528
27001,95.3,237.534
41001,107.8,237.683
5631,101.5,237.742
76863,90.3,237.846
5360,106.9,237.923
76863,107.0,237.973
5885,89.4,238.431
76113,97.0,238.753
5885,98.3,238.81
15183,98.6,238.919
5001,88.4,239.214
5360,105.4,239.372
15753,102.3,239.415
5030,98.2,239.784
5030,105.4,239.784
76100,92.3,239.886
5001,101.4,240.044
68229,103.2,240.159
76246,91.1,240.17
68229,104.2,240.374
5380,88.1,240.401
76036,92.8,240.712
76246,92.1,240.791
68872,101.4,241.121
41001,99.7,241.18
41001,101.7,241.217
41132,104.3,241.218
41001,90.3,241.296
41001,94.3,241.302
41615,98.3,241.311
41001,95.3,241.316
41001,101.3,241.321
41001,100.3,241.343
41020,103.1,241.374
73555,107.3,241.382
73555,89.1,241.648
73555,90.5,241.648
15403,89.6,242.546
5380,89.4,242.664
27660,101.3,242.814
5036,107.4,242.825
15183,102.1,242.893
41001,89.7,242.916
27660,106.8,243.039
76250,99.4,243.261
76250,104.1,243.262
44650,93.2,243.275
5001,107.3,243.302
5001,107.4,243.735
85400,96.7,244.022
5079,88.4,244.048
73555,106.0,244.069
5091,91.8,244.099
76834,96.1,244.535
76834,95.3,244.535
5091,105.4,244.71
5308,98.5,245.098
85400,103.7,245.16
5308,101.4,245.331
76834,89.0,245.349
5212,89.4,245.366
15097,106.6,245.374
15097,88.1,245.432
5809,98.4,245.794
5308,94.4,245.88
15403,97.1,246.099
5212,101.4,246.343
5001,88.4,246.362
41615,98.8,246.513
5088,95.4,246.538
15810,100.6,247.314
41001,97.3,247.62
5858,92.3,247.945
76670,106.9,248.135
5858,104.4,248.385
5001,99.4,248.94
5001,90.9,248.991
5212,88.9,249.104
5001,101.9,249.317
73616,88.5,249.396
85136,95.7,249.461
5001,100.4,249.512
5001,91.9,249.63
5001,103.9,249.645
5001,89.9,249.766
5001,92.9,249.778
5001,102.9,249.815
5001,94.9,249.817
5631,90.3,249.817
5266,98.9,249.817
5001,92.4,249.823
5088,97.9,249.859
5001,96.9,249.995
5001,93.9,249.995
5001,93.5,249.995
5001,104.9,250.005
5001,105.9,250.005
5088,107.9,250.009
5237,95.4,250.125
5001,96.4,250.269
5266,100.9,250.483
76113,94.1,250.596
15218,99.1,251.289
68370,107.7,251.772
5347,95.4,251.773
68895,103.2,251.8
68895,105.5,251.803
68051,88.8,252.021
41524,91.8,252.101
5059,89.4,252.104
5059,101.4,252.655
68418,94.4,252.716
41524,88.8,252.92
5101,88.5,253.049
85136,107.7,253.455
15673,90.6,253.486
5001,99.9,253.747
5101,98.3,253.802
68418,93.4,253.973
85315,88.7,254.523
85315,106.7,254.608
68147,91.2,254.722
5642,101.3,255.079
68147,95.9,255.132
76828,98.3,255.217
76828,99.4,255.218
68689,101.7,255.293
85263,107.7,255.435
5209,94.6,255.449
5209,107.4,255.449
5642,89.4,255.834
68689,106.0,255.867
68689,107.9,255.867
68689,91.2,255.867
76616,90.2,256.674
76616,103.8,256.678
5001,95.9,256.915
68468,103.2,257.319
41676,95.8,257.832
5664,102.2,257.934
5664,88.4,257.934
85263,104.7,258.422
5310,104.4,258.502
76111,106.1,258.73
76111,103.1,258.774
76111,94.5,258.809
41676,102.2,259.582
5893,103.3,259.666
68425,107.7,259.829
5893,107.4,259.889
5893,88.1,259.92
68160,103.2,260.097
76111,97.0,260.261
68468,93.2,261.234
68432,92.3,261.54
68432,105.7,261.547
41132,95.8,261.789
5240,97.5,262.018
76318,91.0,262.02
15244,99.1,262.05
68684,99.9,262.323
15317,98.6,262.341
68686,88.2,262.372
15244,91.9,262.721
76248,99.1,262.847
68081,98.7,263.304
68081,92.0,263.305
68092,107.2,263.746
27245,100.8,264.28
68432,99.5,264.564
15248,100.6,264.659
15248,94.4,264.992
68684,107.7,265.351
5264,104.4,265.567
5150,89.4,265.671
68266,97.5,265.694
15522,96.6,265.875
68081,89.1,265.998
27245,95.8,266.183
68081,88.7,266.315
5093,104.4,266.703
68266,107.2,267.119
15180,106.6,267.421
76306,107.0,267.439
76306,93.4,267.469
68152,89.7,268.195
68432,88.2,268.26
85325,100.7,268.694
68152,103.2,268.803
15332,89.6,268.892
5044,104.4,268.973
5656,89.4,268.984
5656,103.1,268.985
5044,88.7,268.993
68081,91.2,269.143
5686,105.4,269.255
76520,93.8,269.361
15753,104.1,269.423
5686,88.1,269.814
5686,92.1,269.814
50450,107.3,269.99
76318,95.0,270.462
85325,96.7,270.514
5604,97.3,270.998
5031,107.4,271.147
50450,105.6,271.176
5031,106.6,271.251
5315,102.4,271.389
5315,105.4,271.476
85250,88.1,271.641
85430,88.7,272.181
68669,89.7,272.275
68669,107.7,272.275
5031,99.0,272.663
76318,88.1,272.746
5604,89.4,272.97
85250,88.7,273.011
41801,107.8,273.016
76890,100.0,273.766
76890,93.8,273.768
27580,107.3,273.805
27580,104.8,273.805
27580,89.4,273.805
76248,97.0,273.928
27073,94.3,274.061
27073,90.1,274.061
41885,88.8,274.307
5761,105.4,274.751
5736,107.4,275.252
85250,99.7,275.368
68318,88.2,276.026
5736,105.3,276.129
68162,103.2,276.302
5736,106.8,276.498
41885,97.8,276.567
5736,100.9,276.596
68207,98.2,276.972
68207,91.2,276.972
85430,101.7,277.144
76126,103.8,277.253
41020,103.7,277.833
41020,107.8,277.834
41020,92.6,277.838
68318,89.2,278.091
76563,107.0,278.43
76520,96.0,278.59
76520,90.0,278.602
5086,95.4,278.795
50350,88.8,279.047
41349,98.8,279.084
68547,105.8,279.295
68547,103.2,279.295
68081,102.7,279.472
50350,97.3,279.868
76563,88.1,280.048
68307,88.2,280.219
68547,106.7,281.468
68547,101.1,281.469
76126,105.0,281.923
95001,91.3,282.322
95001,103.7,282.489
95001,100.7,282.644
95001,90.6,282.801
95001,96.3,282.801
68307,95.1,283.079
68406,92.3,283.08
5038,88.5,283.458
5038,89.8,283.469
76275,92.0,283.726
5038,89.2,283.819
76275,96.0,283.913
95001,107.9,283.97
27491,90.1,284.449
27491,103.6,284.451
68162,96.2,284.552
95001,102.3,284.99
95001,104.7,285.021
27787,103.3,285.059
27787,93.1,285.059
95001,93.5,285.125
68406,99.2,285.151
95001,91.7,285.153
5042,90.6,285.375
5042,100.7,285.375
5042,104.4,285.652
27787,100.8,285.796
68001,100.7,285.798
41357,95.8,286.023
68276,88.8,286.208
76869,106.9,286.295
5042,106.7,286.505
68705,91.2,286.792
18753,91.9,286.971
27745,98.3,287.058
