Time_Human,Time_Unix_ms,CPU_Load_1m,CPU_Freq_MHz,Core_0_%,Core_1_%,Core_2_%,Core_3_%,Core_4_%,Core_5_%,Core_6_%,Core_7_%,Core_8_%,Core_9_%,Core_10_%,Core_11_%,RAM_Used_%,Swap_Used_%,Disk_Write_MBps,Temp_C,Throttled
15:52:08.032,1775681528032,1.3,1194,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,71.6,46.7,0.25,48.0,N/A
15:52:08.532,1775681528532,1.3,1729,0.0,0.0,5.9,2.0,0.0,3.9,4.1,0.0,0.0,2.0,3.9,2.0,71.7,46.7,0.0,48.0,N/A
15:52:09.033,1775681529033,1.3,733,4.0,0.0,4.0,5.9,4.0,0.0,2.0,0.0,2.0,0.0,4.0,0.0,71.8,46.7,1.461,48.0,N/A
15:52:09.533,1775681529533,1.3,783,4.1,0.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,71.8,46.7,0.0,48.0,N/A
15:52:10.033,1775681530033,1.3,804,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.9,0.0,0.0,2.0,71.8,46.7,0.0,48.0,N/A
15:52:10.533,1775681530533,1.3,1561,5.9,0.0,2.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0,2.0,2.0,71.8,46.7,0.047,48.0,N/A
15:52:11.033,1775681531033,1.3,1488,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,4.0,0.0,2.0,71.9,46.7,0.0,48.0,N/A
15:52:11.533,1775681531533,1.3,2594,22.0,0.0,9.8,6.1,4.2,6.0,10.2,7.8,2.1,2.0,4.0,4.0,72.0,46.6,0.0,48.0,N/A
15:52:12.033,1775681532033,1.2,1376,0.0,0.0,0.0,0.0,3.9,0.0,3.9,0.0,0.0,2.0,2.0,2.0,72.0,46.6,0.0,48.0,N/A
15:52:12.533,1775681532533,1.2,1384,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,72.0,46.6,0.476,48.0,N/A
15:52:13.033,1775681533033,1.2,835,4.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,4.0,4.0,2.0,2.1,72.0,46.6,0.172,48.0,N/A
15:52:13.533,1775681533533,1.2,1018,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,5.8,0.0,2.0,2.0,72.0,46.6,0.0,48.0,N/A
15:52:14.034,1775681534034,1.2,889,0.0,0.0,6.0,0.0,2.0,2.0,4.0,0.0,0.0,3.9,0.0,0.0,72.0,46.6,0.0,48.0,N/A
15:52:14.534,1775681534534,1.2,903,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,71.9,46.6,0.0,48.0,N/A
15:52:15.034,1775681535034,1.2,1098,2.0,0.0,2.0,4.1,3.9,4.0,2.0,6.0,2.0,0.0,3.9,2.0,71.9,46.6,0.0,48.0,N/A
15:52:15.534,1775681535534,1.2,1164,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,71.8,46.6,0.367,48.0,N/A
15:52:16.034,1775681536034,1.2,609,2.0,0.0,3.9,4.0,3.9,2.0,0.0,2.0,0.0,2.0,0.0,2.0,71.8,46.6,0.0,48.0,N/A
15:52:16.534,1775681536534,1.2,1260,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,71.8,46.6,0.0,48.0,N/A
15:52:17.034,1775681537034,1.18,543,0.0,3.8,5.9,4.0,4.0,2.0,0.0,5.9,2.0,2.0,3.9,2.0,71.7,46.6,0.0,48.0,N/A
